,NCBI_IDs,NCBI_taxa,,,Symbol,Size,Color,Fill,Position,Label
156,29918,Cladosporium_herbarum,Cladosporium_herbarum|29918,Cladosporium_herbarum|29918,NA,NA,NA,NA,NA,NA
157,33203,Purpureocillium_lilacinum,Purpureocillium_lilacinum|33203,Purpureocillium_lilacinum|33203,NA,NA,NA,NA,NA,NA
158,33959,Lactobacillus_johnsonii,Lactobacillus_johnsonii|33959,Lactobacillus_johnsonii|33959,NA,NA,NA,NA,NA,NA
159,34433,Leucoagaricus,Leucoagaricus|34433,Leucoagaricus|34433,NA,NA,NA,NA,NA,NA
160,34436,Chlorophyllum_rhacodes,Chlorophyllum_rhacodes|34436,Chlorophyllum_rhacodes|34436,NA,NA,NA,NA,NA,NA
161,35128,Thalassiosira_pseudonana,Thalassiosira_pseudonana|35128,Thalassiosira_pseudonana|35128,NA,NA,NA,NA,NA,NA
162,36061,Laccaria_laccata,Laccaria_laccata|36061,Laccaria_laccata|36061,NA,NA,NA,NA,NA,NA
163,36646,Penicillium_coprophilum,Penicillium_coprophilum|36646,Penicillium_coprophilum|36646,NA,NA,NA,NA,NA,NA
164,36647,Penicillium_thomii,Penicillium_thomii|36647,Penicillium_thomii|36647,NA,NA,NA,NA,NA,NA
165,36653,Penicillium_commune,Penicillium_commune|36653,Penicillium_commune|36653,NA,NA,NA,NA,NA,NA
166,36746,Pseudomonas_cichorii,Pseudomonas_cichorii|36746,Pseudomonas_cichorii|36746,NA,NA,NA,NA,NA,NA
167,36809,Mycobacteroides_abscessus,Mycobacteroides_abscessus|36809,Mycobacteroides_abscessus|36809,NA,NA,NA,NA,NA,NA
168,37640,Dermabacter_sp.,Dermabacter_sp.|37640,Dermabacter_sp.|37640,NA,NA,NA,NA,NA,NA
169,37734,Enterococcus_casseliflavus,Enterococcus_casseliflavus|37734,Enterococcus_casseliflavus|37734,NA,NA,NA,NA,NA,NA
170,37840,Pestalotiopsis,Pestalotiopsis|37840,Pestalotiopsis|37840,NA,NA,NA,NA,NA,NA
171,37994,Beauveria_felina,Beauveria_felina|37994,Beauveria_felina|37994,NA,NA,NA,NA,NA,NA
